title,subtitle,short_description,style_description,details,price,num_colors
Classic Slip-On Checkerboard Platform Shoe,Slip on. Stack up.,Iconic Slip-On style gets a little lift with a platform sole and double the sidewall.,"The Classic Slip-On Stackform Checkerboard refreshes our original slip-on silhouette with an even chunkier take on the platform aesthetic. Constructed with an exaggerated sidewall for double the height, this platform shoe amplifies a classic favorite while bringing a new Off the Wall style to your look.",Iconic slip on shoe 34 mm platform height Canvas upper for a classic look Padded collar for support and comfort Elastic side panels for easy slip-on and off Rubber sidewall with classic foxing stripe Vulcanized build for the original look and feel Signature waffle outsole pattern for reliable grip since '66,$70.00,9 colors
Skate Authentic Shoe,"The original, refined for skating.","Updated for skateboarding, our Skate Classics are built tough, grip hard and land soft.","Completely redesigned for modern skateboarding, the Skate Classics collection delivers more of what skateboarders need to enable maximum progression. A vulcanized shoe made with classic canvas uppers that nod to our original heritage shoe, the Skate Authentic gives you the iconic look you want while bringing all the performance benefits skateboarders demand.","Skate low top shoe Designed for skateboarding with enhanced durability and performance features 10 oz canvas upper for a durable and classic look Unpadded, low-profile cuff for a minimalist fit Metal eyelets. Four on sizes 3.5 - 6 and five on sizes 6.5+ Lace-up closure for a secure and customizable fit Internal tongue straps secure the tongue, preventing it from sliding during movement A molded heel counter provides structure support, improving stability and fit PopCush™ footbeds offer impact protection and reduce leg fatigue for extended skating DURACAP™ underlays add reinforcement to high-wear areas Higher sidewalls for increased shoe protection and durability SickStick™ rubber waffle outsole provides maximum grip and traction on your board Signature waffle sole pattern outsole for reliable grip since '66 Vulcanized sole for superior board feel and flexibility",$60.00,8 colors
Hi-Standard OG Snowboard Boot,Bestseller for a reason.,"Timeless Vans style with a customized fit, comfortable interior, and footbed designed for maximum impact protection.","The Hi-Standard OG is the best-selling Vans boot of all time, and continues to be the standard-bearer for classic style and modern performance. The comfort and familiar feel of traditional lace-up closure gains additional support from our lightest harness and heat-moldable core for a customized fit. With instep flex zone to maintain natural ankle flexion and a footbed that uses 3D anatomical shaping for next-level impact protection, you're ready for whatever the mountain throws your way.","Optimized for all-mountain and park/street terrain Flex rating: 4-5 Skill level: beginner to intermediate V1 UltraCush™ Liner features an UltraCush™ interior layer, a dual-density heat-moldable core for customized fit, a comfort flex neoprene toe box, and a closed-seam brushed fleece cuff Our V1 Harness is our lightest and simplest harness, designed to ensure effective support and heel hold when paired with our V1 liner Instep Flex Zone maintains natural ankle flexion in your boot, even strapped into your bindings PleasureCuff's supple elasticity delivers a cushioned, comfortable fit, keeping your calves supported Heat Retention 360° uses a layer of 200g insulation over the toes so they stay warm during the coldest temps. With a liner material of neoprene and EVA, moisture is wicked away from the foot V1 PopCush™ Footbeds use 3D anatomical shaping to offer the highest level of impact protection Footbed's nylex moisture-wicking top-sheet keeps you dry and comfortable V1 Waffle Lug Outsole with All-Trac cold weather rubber compound delivers precise boardfeel and traction in all conditions",$200.00,4 colors
Crosspath Shoe,Always ready.,"Mixing Vans style and all-terrain functionality, with water-repellent DWR and grippy tread.","Wherever your active lifestyle takes you, the Crosspath has you covered for all-day exploration. Expanding on the inspiration behind Vans' UltraRange family, it offers the perfect blend of style and functionality for urban and outdoor adventures. Extremely versatile and infused with comfort, this water-resistant low-top shoe pairs a lightweight, thougthful construction with maximum cushioning and enhanced traction for any terrain from the trail to the streets.","Water-repellant, all-terrain low-top sneaker Designed for daily wear, unexpected weather, and light outdoor activities DWR (durable water repellent) coating to shed light moisture Treaded outsole delivers reliable traction in all weather conditions Non-insulated, designed for four-season wearability UltraCush midsole cushioning for long-lasting comfort Maximum cushioning and moderate stability The Checkerboard Globe logo signifies that 30% of the product is made of one or a combination of Regenerative, Renewable, and/or Recycled materials Signature Sidestripe brings classic Vans DNA to the design Lace closure provides a secure, adjustable fit Heel-to-toe drop: 7 MM Weight: 12.50 OZ",$130.00,6 colors
Skate Half Cab Wafflecup Shoe,Half Cab Legacy. New Tech,"WaffleCup™ support, reinforced fit, and impact protection.","The Skate Half Cab WaffleCup™ stays true to the legacy of Steve Caballero’s mid-top icon—then arms it with tech to handle the modern session. With a locked-in fit, reinforced durability, and upgraded cushioning, this version is built to take more hits, hold its shape longer, and keep your feet fresher when the lines stretch on. From flatground to stair sets, it’s the evolution of a classic, designed to take whatever you throw at it.","Iconic signature mid-top Durable leather upper with bar-tag reinforcements Wafflecup™ combines cupsole support and durability with vulcanized board feel and flexibility SickStick™ rubber—our stickiest yet—keeps you glued to your board DuraCap rubber underlay is placed in key areas to protect against griptape wear. LUXLINER™ inner for breathable, seamless fit PopCush™ footbeds offer impact protection for extended skating Molded heel counter improves stability and fit Hidden stash pocket at the tongue Updated upper pattern with bar-tag reinforcements",$95.00,2 colors
Lowland 2.0 Shoe,Nod To The Past.,"Inspired by our '80s Serio Collection with a retro ""Flying V"" logo and modern upgrades.","The Lowland 2.0 takes everything loved about the Lowland and builds on it, delivering a fresh blend of Vans’ sport-inspired heritage and modern innovation. With an updated fit for improved comfort and a durable full rubber cupsole replacing ComfyCush tech, it’s built for lasting wear without compromising style. Perfect for those who value versatility and authenticity.","80s archival-inspired silhouette Slim, low-top profile for a clean, versatile look. Leather and synthetic uppers for durability and texture Lace-up closure with bloucher construction for a secure, customizable fit Padded collar for enhanced support and comfort Rubber heel detail adds durability and stability Cupsole construction provides enhanced support and durable Hybrid waffle sole with pivot zones and flex notches for optimal grip and movement Heritage “Flying V” logo",$85.00,10 colors
Authentic Wide Shoe,The original since ‘66.,"The longest running style in the Vans lineup, the Authentic is where it all started.","The Authentic is the original Vans silhouette. First introduced in 1966 and driven forward by creative culture ever since, this time-honored shoe keeps the old school vibe alive with sturdy canvas uppers in seasonal colorways. With its classic low-top design and iconic rubber waffle outsole, the Authentic Wide is a blank canvas for creativity that allows you to do your thing in your own unique way. Wide width sizes provide a spacious platform by a bottom width that is 5mm wider and a ball girth that is 10mm longer than our regular width sizes.","Low-top shoe Wide construction Canvas upper for a durable and classic look Unpadded, low-profile cuff for a minimalist fit Metal eyelets. Four on sizes 3.5 - 6 and five on sizes 6.5+ Rubber sidewall with classic foxing stripe Lace-up closure for a secure and adjustable fit Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel",$55.00,3 colors
Super Lowpro Collapse Shoe,"Slip in, step out.",Retro style that adapts with a collapsible heel and stretch collar.,"The Super Lowpro Collapse brings retro track-inspired design to a flexible, packable silhouette. A deconstructed heel counter softens structure for added give and adaptive fit, while the stretch collar allows for quick entry. A low-profile EVA midsole keeps it lightweight underfoot, finished with heritage sport details true to Vans DNA.","Low-profile, vintage track-inspired sneakers Inspired by ’80s Serio Style 84 Heel counter collapses for easy slip-on wear/packable Stretch collar provides a comfortable, adaptive fit EVA midsole and wedge for lightweight cushioning and durability OrthoLite® foam insole for cushioning Leather and nylon upper for durability and classic look Heritage “Serio” branding on the tongue Rubber outsole with Vans’ signature waffle pattern for superior grip Lace closure for an adjustable fit Padded tongue adds comfort and support",$85.00,4 colors
Premium Classic Slip-On Checkerboard Shoe,No laces. Premium build.,"Skateboarding’s original Slip-On, upgraded with enhanced cushioning for extra comfort.","Born from Southern California skate culture, the Classic Slip-On is the global icon of laid-back style. Now elevated with a higher sidewall, midweight canvas, a Sola Foam ADC insole, and enhanced cushioning and an upgraded footbed, this premium take on the classic delivers all-day comfort.","Signature Slip-On shoe 8 oz canvas upper for a light but durable finish Padded collar for support and comfort Elastic side panels for easy slip-on and off Higher sidewall with gloss finish Foxing tape inspired by original 90's Osnaburg reinforced outsoles Upgraded footbed and refined construction combine for a more seamless fit Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, it is made using at least 30% biobased PU foam partially derived from plants and it is USDA Certified Biobased Vulcanized build for the original look and feel Signature waffle outsole pattern for reliable grip since '66 Checkerboard pattern on vamp and heel",$80.00,2 colors
Invado OG Gum Snowboard Boot,Customized performance.,The Invado OG merges traditional lacing and the power of BOA® for customizable heel hold that stays put in all terrain.,"The Invado OG combines classic Vans style with elevated heel hold. Utilizing both the Vans Hybrid BOA Fit System and traditional lacing, the Invado OG stands the test of all terrain. The dual-density, heat-moldable core of the liner shapes to your foot, creating unparalleled comfort and a uniquely perfect fit.","Designed for all-mountain and park/street terrain, this boot has been optimized for versatility, from parks and rails in urban environments to cruising groomers with ease Flex rating: 4-6 Skill level: beginner to intermediate Textile and synthetic upper for added visual interest V1 UltraCush™ Liner features an UltraCush™ interior layer, a dual-density heat-moldable core for customized fit, a comfort flex neoprene toe box, and a closed-seam brushed fleece cuff V1 PopCush™ Footbeds use 3D anatomical shaping to offer the highest level of impact protection Instep Flex Zone maintains natural ankle flexion in your boot, even strapped into your bindings PleasureCuff's supple elasticity delivers a cushioned, comfortable fit, keeping your calves supported Footbed's nylex moisture-wicking top-sheet keeps you dry and comfortable Our V1 Harness is our lightest and simplest harness, designed to ensure effective support and heel hold when paired with our V1 liner Heat Retention 360° uses a layer of 200g insulation over the toes so they stay warm during the coldest temps. With a liner material of neoprene and EVA, moisture is wicked away from the foot V1 Waffle Lug Outsole with All-Trac cold weather rubber compound delivers precise boardfeel and traction in all conditions BOA® Fit System with Vans Custom Slide Guide features a high-power coiler dial and mid-power remote dial to control three zones of fit, delivering concentrated fit around the instep area for focused heel hold",$220.00,3 colors
Infuse Gum Snowboard Boot,Powerful Performance.,"Decked in performance-focused features, the Infuse brings unchecked progression to any terrain.","The Infuse is about performance, plain and simple. As one of our most popular all-terrain, all-condition boots, it's loaded with top-shelf features like the Vans Flex Control System for control, Powercuff Strap for stability, a V3 Popcush Footbed for anatomical foot support, and a Hybrid Plus BOA Custom Fit System for quick adjustments anywhere you go. This boot has everything you want in a snowboard boot. The question is: what are you gonna do with it?","Designed for backcountry, all-mountain, and park/street, this boot has been optimized for versatility, from parks and rails in urban environments to steep, deep terrain Flex rating: 5-9 Skill level: intermediate, advanced Leather and synthetic upper for style and strength Waterproof Zipper Shroud + D Ring is a durable, weatherproof fabric shield blocks moisture out of your boot. It also features a metal D-ring for securely fastening your pant gaiters to lock out snow. Waterproof, Breathable Valves ensure breathability and thermal regulation by transporting moisture away from your feet Powercuff Strap for extra support at the top of the boot for increased stability and response Exocap Molded Toe Protection provides maximum protection and extra space in the toe box to keep your toes warm Enhanced with The North Face FlashDry materialization, a neoprene forefoot, an updated X-cage for superior heel hold, and a soft microsuede cuff and tongue Our V3 Harness offers our most advanced support to the ankle and instep, keeping the liner and boot shell locked in Heat Retention 360° uses a layer of 200g insulation over the toes so they stay warm during the coldest temps. With a liner material of neoprene and EVA, moisture is wicked away from the foot V3 PopCush™ Footbed features a 3D molded anatomical shape, TPU arch support heel clip, an OrthoLite® top layer, and airflow perforations for breathability Inspired by moto endurance racing with a multi-directional tread design, surface-level texturing, and a TPU toe pick for added traction and snow tread BOA® Fit System with Vans Custom Slide Guide features a high-power coiler dial and mid-power remote dial to control three zones of fit, delivering concentrated fit around the instep area for focused heel hold",$420.00,2 colors
La Costa Checkerboard Slide-On Sandal,Comfort and convenience.,Meet the slide you'll never want to take off.,"Inspired by Vans vulcanized roots, the La Costa Slide-On Checkerboard takes all of the iconic DNA from our Classics and wraps it up in a slide you'll never want to take off. From the tonal checkerboard print on the straps to the iconic red heel scab, this sandal has an unmistakable Vans aesthetic. Add in a lightweight UltraCush Lite waffle outsole for comfort, and you've got a slide sandal that transcends summer.","Slide sandal inspired by our vulcanized roots Synthetic nubuck straps with iconic checkerboard print Soft rubber and stretch textile linings Lightweight, flexible, and durable injected UltraCush Lite waffle outsoles Subtle waffle pattern on the footbed Made with water-based inks and glues",$35.00,6 colors
Knu Skool Checkerboard Shoe,In With The Knu.,Oversized laces and puffed-up ’90s attitude on Vans’ signature sole.,"Born in ’98, the Knu Skool took inspiration from the iconic Old Skool to create something entirely its own. Oversized laces, a puffed tongue, and a plush collar captured unapologetic ’90s style, all grounded on Vans’ signature vulcanized sole.","Reissued '90s-inspired low-top shoe Suede upper for a soft, textured finish Oversized tongue and padded collar for extra comfort Wide laces for bold style and adjustable, secure fit Heel pulls for ease of entry Puffy 3D Sidestripe™ blends throwback style with a modern edge Rubber sidewall with classic foxing stripe Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel Checkerboard branding is unmistakably Vans",$80.00,15+ colors
Skate Old Skool 36+ Shoe,Feel Something New.,"The same iconic style, upgraded with refined materials and modern construction.","The Premium Old Skool redefines an iconic silhouette with elevated comfort, a seamless fit, and refined details that honor its heritage. A padded collar offers support, and the upgraded footbed offers elevated cushioning. Designed with care and crafted for all-day wear, it delivers style rooted in legacy while embracing modern innovation for a look and feel like no other.","Skate-inspired, low-top shoe Canvas and suede upper layers two textures Lace-up closure for an adjustable fit Soft padded collar for enhanced comfort Higher sidewall with gloss finish Foxing tape inspired by original '90s Osnaburg reinforced outsoles Upgraded footbed and refined construction combine for a more seamless fit Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, it is made using at least 30% biobased PU foam partially derived from plants and it is USDA Certified Biobased Signature waffle outsole pattern for reliable grip since '66 Vulcanized build for the original look and feel Iconic leather Sidestripe™ insignia The Checkerboard Globe logo signifies that 30% of the product is made of one or a combination of regenerative, renewable, and/or recycled materials",$80.00,7 colors
Aura Pro Snowboard Boot,Comfort out of bounds.,"A dual-zone BOA® Fit System and anatomical footbed work together to ensure a customized fit that stays close, in or out of bounds.","Featuring comfort, control, and style that only Vans can offer, the Aura Pro delivers on its versatile, hardworking reputation as the boot built to perform in all conditions. A dual-zone BOA® Fit System featuring Vans Custom Focus provides unlimited on-the-fly micro-adjustability backed by the customizable comfort and heel hold of the Custom Slide Guide. Add in a thermoregulating liner and high traction outsole for the sidecountry, and the Aura Pro exceeds expectations for comfort and performance.","Backcountry and all-mountain boot Flex rating: 5-6 Skill Level: intermediate to advanced V2 UltraCush™ with Smartwool Liner uses odor-resistant, thermoregulating Smartwool Merino wool and an UltraCush™ cushioning layer for a liner that is warm but breathable, with a Comfort Flex neoprene toe box and X-Cage for superior heel hold V2 PopCush™ Footbed utilizes dual-density PopCush™ construction, a 3D-molded anatomical shape, airflow perforations, and a TPU arch support heel clip for stability while allowing for torsional flex PleasureCuff's supple elasticity delivers a cushioned, comfortable fit, keeping your calves supported Instep Flex Zone maintains natural ankle flexion in your boot, even strapped into your bindings Our V2 Harness allows for customizable heel hold, working in tandem with the V2 liner for enhanced support and a personalized fit Footbed's nylex moisture-wicking top-sheet keeps you dry and comfortable Heat Retention 360° uses a layer of 200g insulation over the toes so they stay warm during the coldest temps. With a liner material of neoprene and EVA, moisture is wicked away from the foot V2 Waffle Pro Outsole with All-Trac Cold Weather Rubber Compound provides natural flex and a weight-reducing, impact-resisting UltraCush midsole provide sensitive boardfeel, while a Vans-exclusive lug tread pattern gives you the traction you need to explore the sidecountry with confidence BOA® Fit System with Vans Custom Slide Guide features a high-power coiler dial and mid-power remote dial to control three zones of fit, delivering concentrated fit around the instep area for focused heel hold",$330.00,3 colors
Skate Half Cab Wafflecup by Atiba Jefferson,United Through Skateboarding.,The Skate Half Cab WaffleCup by Atiba for Vans.,"Atiba helps us introduce the first-ever Half Cab to feature a WaffleCup outsole, bringing his personal touch to the design with one of his most iconic photos of skate legend John Cardiel printed on the insole and custom hand-drawn logos by Atiba's friend and graffiti artist Haze. Durable suede and canvas uppers with breathable mesh ensure durability, while SickStick™ rubber sole grips hard and resists griptape wear. PopCush™ footbeds cushion impacts, and Wafflecup™ construction offers sturdy support with flexible boardfeel.","Iconic signature mid-top Monochromatic oatmeal beige Durable leather upper with bar-tag reinforcements SickStick™ rubber—our stickiest yet—keeps you glued to your board DuraCap™ rubber underlay adds extra durability and protection where it matters most Mesh panels for added breathability and softer foam around the ankles PopCush™ insoles provide maximum cushioning for high-impact skateboarding Insoles printed with an archival Atiba photograph of skate legend John Cardiel Custom logo artwork by Atiba's friend and legendary graffiti artist Haze Molded heel counter improves stability and fit Hidden stash pocket at the tongue Wafflecup™ outsole blends cupsole support with vulcanized boardfeel Oatmeal beige primary lace, includes second set of white laces",$95.00,4 colors
AVE 2.0 Shoe,Pushing Boundaries.,Our most technically-advanced skate shoe ever.,"Anthony Van Engelen is always pushing the boundaries of skateboarding. Together, Vans and AVE have consistently delivered our most progressive skate shoes, and his latest pro model is our most uncompromised yet. Featuring Vans’ revolutionary UltimateWaffle sole, the AVE 2.0 pulls from decades of footwear innovation to set a new standard by combining added grip and cushioning with unrivaled support and durability, enabling skaters to keep pushing the boundaries—just like AVE.","Skate low top shoe Tailored specifically for skateboarding Suede and knit uppers blend durability with comfort Padded collar and mesh liner deliver enhanced support and comfort Breathable sides, heel, and tongue keep feet cool during intense skate sessions RAPIDWELD™ construction fuses materials seamlessly for a lightweight, rip-resistant build DURACAP™ reinforces key areas to handle heavy wear and protect against grip tape abrasion Lace-up closure for a secure and customizable fit UltraCush™ midsole cushions impact with every step Clear TPU midfoot adds support and modern style UltimateWaffle™ sole ensures superior grip, flex, and stability TPU heel clip adds support and locks in a secure fit SickStick™ rubber compound provides maximum grip on your board",$120.00,4 colors
Premium Authentic Checkerboard Shoe,Classic style. Premium build.,"Our original silhouette, upgraded with enhanced cushioning and an improved fit.","Born in 1966, the Authentic set the standard for clean, functional design. This premium build stays true to its roots while stepping things up with a checkerboard canvas upper, a refined fit, and a cushioned insole for lasting comfort and a softer step. It’s a new level of wearability for a timeless original.","Heritage low top shoes 8 oz canvas upper for a light but durable finish Cotton lace and metal eyelets Higher sidewall with gloss finish Foxing tape inspired by original 90's Osnaburg reinforced outsoles Upgraded footbed and refined construction combine for a more seamless fit Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, it is made using at least 30% biobased PU foam partially derived from plants and it is USDA Certified Biobased Signature waffle outsole pattern for reliable grip since '66 The Checkerboard Globe logo signifies that 30% of the product is made of one or a combination of Regenerative, Renewable, and/or Recycled materials",$80.00,2 colors
Sk8-Hi Wide Shoe,The original skate hi-top,"Established in 1978, the Sk8-Hi is classic on any stage.","The Sk8-Hi was a game changer as the first high-top skate shoe to break onto the scene. With a padded collar for ankle support and reinforced toe caps, it was, and still is, an emblem of Off The Wall culture. The Sk8-Hi was our second model to showcase the Vans Sidestripe, and its bold design has remained iconic ever since. With the Sk8-Hi Wide Canvas, this innovative high-top allows even more room to do your thing. Wide width sizes provide a spacious platform by a bottom width that is 5mm wider and a ball girth that is 10mm longer than our regular width sizes.","Legendary high top, Sidestripe shoe Wide construction Durable suede and canvas uppers Lace-up closure Reinforced toe caps Supportive padded collars Signature rubber waffle outsoles Classic Sk8-Hi",$75.00,3 colors
Skate Curren Caples Shoe,Vulcanized Perfection.,Durable. Functional. Straightforward. Everything Curren wants and needs in a skate shoe.,"In his never-ending search for Vulcanized Perfection, Curren Caples brings his first signature Skate shoe to the mix. Featuring a new custom outsole pattern optimized for grip and board feel with SickStick™ rubber. Plus, a Popcush™ insole for maximum cushioning and Duracap™ underlays for extra protection where it matters most.","Designed By Curren Caples Signature skate low-top shoe Designed for skateboarding with enhanced durability and performance features Leather upper for a smooth, durable finish PopCush™ footbeds offer impact protection for extended skating DuraCap™ underlays add extra durability and protection where it matters most SickStick™ rubber—our stickiest yet—keeps you glued to your board Padded collar for support and comfort Custom SideStripe™ tread-pattern outsole for on-board grip and durability Vans X Curren Caples print on tongue Vans Skateboarding logo heel scab Vans Checkerboard hangflag Vulcanized sole for superior board feel and flexibility Lace closure for an adjustable fit",$80.00,5 colors
Upland Shoe,"Inspired by then, made for now.","Straight from 2000. With a puffy upper, chunky laces and comfort-focused upgrades.","Meet the Upland, a sneaker of the past reengineered for the future. We've taken the chunky 90s low-top classic and added some modern touches. The redesigned foot shape brings improved fit and comfort, while elevated materials blend durability and style. With oversized laces and bold logo hits, the Upland seamlessly bridges our heritage with whatever today has in store.","Chunky 90s low-top sneakers Archive-inspired, builds on the legacy of the original Upland silhouette Stitched-on cupsole wraps the whole shoe for insane durability Upper combines leather and polyethylene for style and strength New and improved foot shape for enhanced comfort Puffy collar and padded tongue bring that extra support Heritage Flying V logo nods to the Uplands heritage Wide laces add to the classic vibe",$95.00,15+ colors
Premium Old Skool Checkerboard Shoe,Feel Something New.,"The same iconic style, upgraded with lightweight canvas, suede, and modernized construction.","The Warped Tour Capsule pops with always-on checkerboard, two-tone designs, and flame prints, paying homage to the early 2000s. Our updated Premium build keeps the iconic Old Skool silhouette intact, refined for today with better cushioning and an improved fit. suede and lightweight canvas meet the ’90s-inspired design, all crafted with sustainable materials for a fresh take on a classic.","Skate-inspired, low-top shoe Music Collection, Warped Tour Capsule Canvas and suede upper layers two textures Leather collar lining and padded collar for support and comfort Higher sidewall with glossy finish 100% cotton laces, woven flag label Foxing tape inspired by original 90's Osnaburg reinforced outsoles Upgraded footbed and refined construction combine for a seamless fit Sola Foam ADC (All-Day Comfort) insole for soft and durable cushioning, 30% bio-based material Regenerative rubber outsoles for more sustainability Iconic Sidestripe™ insignia Red logo heel scab Checkerboard print",$95.00,2 colors
Invado Pro Snowboard Boot,Pro. Park. Performance.,"With an arsenal of features boosting its fit and versatility, the Invado Pro brings pro-level performance to every trick you try.","The Invado Pro is one of the most versatile snowboard boots available. Combining the unlimited customization of Vans Hybrid BOA Fit System with the unmatched heel hold of the Custom Slide Guide and the comfort and warmth of the V2 UltraCush Smartwool liner, the Invado Pro delivers pro-level performance in any situation. Add in the terrain management of a V2 Waffle Pro outsole and the heat-moldable core of the liner and you have unparalleled comfort and a perfect fit.","Designed for all-mountain and park/street terrain, this boot has been optimized for versatility, from parks and rails in urban environments to cruising groomers with ease Textile and synthetic upper Flex rating: 5-7 Skill level: intermediate, advanced V2 UltraCush™ with Smartwool Liner uses odor-resistant, thermoregulating Smartwool Merino wool and an UltraCush™ cushioning layer for a liner that is warm but breathable, with a Comfort Flex neoprene toe box and X-Cage for superior heel hold V2 PopCush™ Footbed utilizes dual-density PopCush™ construction, a 3D-molded anatomical shape, airflow perforations, and a TPU arch support heel clip for stability while allowing for torsional flex Powercuff Strap for extra support at the top of the boot for increased stability and response Instep Flex Zone maintains natural ankle flexion in your boot, even strapped into your bindings PleasureCuff's supple elasticity delivers a cushioned, comfortable fit, keeping your calves supported Heat Retention 360° uses a layer of 200g insulation over the toes so they stay warm during the coldest temps. With a liner material of neoprene and EVA, moisture is wicked away from the foot V2 Waffle Pro Outsole with All-Trac Cold Weather Rubber Compound provides natural flex and a weight-reducing, impact-resisting UltraCush midsole provide sensitive boardfeel, while a Vans-exclusive lug tread pattern gives you the traction you need to explore the sidecountry with confidence BOA® Fit System with Vans Custom Slide Guide features a high-power coiler dial and mid-power remote dial to control three zones of fit, delivering concentrated fit around the instep area for focused heel hold",$315.00,2 colors
Skate Curren Caples Gum Shoe,Vulcanized Perfection.,Durable. Functional. Straightforward. Everything Curren wants and needs in a skate shoe.,"In his never-ending search for Vulcanized Perfection, Curren Caples brings his first signature Skate shoe to the mix. Featuring a new custom outsole pattern optimized for grip and board feel with SickStick™ rubber. Plus, a Popcush™ insole for maximum cushioning and Duracap™ underlays for extra protection where it matters most.","Designed By Curren Caples Signature skate low-top shoe Designed for skateboarding with enhanced durability and performance features Leather upper for a smooth, durable finish PopCush™ footbeds offer impact protection for extended skating DuraCap™ underlays add extra durability and protection where it matters most SickStick™ rubber—our stickiest yet—keeps you glued to your board Padded collar for support and comfort Custom SideStripe™ tread-pattern outsole for on-board grip and durability Vans X Curren Caples print on tongue Vans Skateboarding logo heel scab Vans Checkerboard hangflag Vulcanized sole for superior board feel and flexibility Lace closure for an adjustable fit",$80.00,5 colors
Infuse Snowboard Boot,Powerful Performance.,"Decked in performance-focused features, the Infuse brings unchecked progression to any terrain.","The Infuse is about performance, plain and simple. As one of our most popular all-terrain, all-condition boots, it's loaded with top-shelf features like the Vans Flex Control System for control, Powercuff Strap for stability, a V3 Popcush Footbed for anatomical foot support, and a Hybrid Plus BOA Custom Fit System for quick adjustments anywhere you go. This boot has everything you want in a snowboard boot. The question is: what are you gonna do with it?","Designed for backcountry, all-mountain, and park/street, this boot has been optimized for versatility, from parks and rails in urban environments to steep, deep terrain Flex rating: 5-9 Skill level: intermediate, advanced Leather and synthetic upper for style and strength Waterproof Zipper Shroud + D Ring is a durable, weatherproof fabric shield blocks moisture out of your boot. It also features a metal D-ring for securely fastening your pant gaiters to lock out snow. Waterproof, Breathable Valves ensure breathability and thermal regulation by transporting moisture away from your feet Powercuff Strap for extra support at the top of the boot for increased stability and response Exocap Molded Toe Protection provides maximum protection and extra space in the toe box to keep your toes warm Enhanced with The North Face FlashDry materialization, a neoprene forefoot, an updated X-cage for superior heel hold, and a soft microsuede cuff and tongue Our V3 Harness offers our most advanced support to the ankle and instep, keeping the liner and boot shell locked in Heat Retention 360° uses a layer of 200g insulation over the toes so they stay warm during the coldest temps. With a liner material of neoprene and EVA, moisture is wicked away from the foot V3 PopCush™ Footbed features a 3D molded anatomical shape, TPU arch support heel clip, an OrthoLite® top layer, and airflow perforations for breathability Inspired by moto endurance racing with a multi-directional tread design, surface-level texturing, and a TPU toe pick for added traction and snow tread BOA® Fit System with Vans Custom Slide Guide features a high-power coiler dial and mid-power remote dial to control three zones of fit, delivering concentrated fit around the instep area for focused heel hold",$420.00,2 colors
La Costa Checkerboard Lite Sandal,Comfort and convenience.,Blending effortless style with all-day comfort.,"Inspired by Vans vulcanized roots, the La Costa Lite takes all of the iconic DNA from our Classics and wraps it up in a pair of ultra-comfy flip flops. From the signature hang flag to the heritage foxing line on the sidewall, this sandal has an unmistakable Vans aesthetic. Add in a lightweight UltraCush Lite waffle outsole for comfort, and you've got a warm-weather staple like no other.","Sandal inspired by our vulcanized roots Synthetic nubuck straps Soft rubber and stretch textile linings Lightweight, flexible, and durable injected UltraCush Lite waffle outsoles Subtle waffle pattern on the footbed Made with water-based inks and glues",$35.00,2 colors
Verse Snowboard Boot,A class of its own.,"As one of the most technical terrain boots available, this Verse brings advancements in performance and protection.","The Verse has long been regarded as one of the most versatile and technical terrain boots available. This next iteration brings generational advancements in both performance and protection. With a BOA® Fit System, the Verse is optimized for precision and power. Complemented with arch support and an outsole inspired by moto endurance racing for added traction, it’s also well outfitted for backcountry missions and more capable on and off piste than ever before. Top to bottom, the newly redesigned Verse is engineered to be in a class of its own.","All-mountain boot that excels in the backcountry, optimized for versatility from dropping into big lines in the resort to riding steep, deep terrain out of bounds Flex rating: 6-9 Skill level: advanced V3 UltraCush™ The North Face FlashDry™ liner is enhanced with The North Face FlashDry materialization, a neoprene forefoot, an updated X-cage for superior heel hold, and a soft microsuede cuff and tongue V3 PopCush™ Footbed features a 3D molded anatomical shape, TPU arch support heel clip, an OrthoLite® top layer, and airflow perforations for breathability Waterproof Zipper Shroud + D Ring is a durable, weatherproof fabric shield blocks moisture out of your boot. It also features a metal D-ring for securely fastening your pant gaiters to lock out snow Exocap Molded Toe Protection provides maximum protection and extra space in the toe box to keep your toes warm Vans Flex Control System uses high-rebound Hytrel tongue stiffeners for boot flex adjustability. As your boots soften up over time, add the tongue stiffeners back in to extend the life of your boots. Waterproof, Breathable Valves ensure breathability and thermal regulation by transporting moisture away from your feet Asymmetrical Flex Zone allows your knees to flex in a more natural way with larger flex zones on the inside of the foot for precise control while carving Instep Flex Zone maintains natural ankle flexion in your boot, even strapped into your bindings Powercuff Strap for extra support at the top of the boot for increased stability and response Heat Retention 360° uses a layer of 200g insulation over the toes so they stay warm during the coldest temps. With a liner material of neoprene and EVA, moisture is wicked away from the foot. V3 Superenduro Waffle Outsole is inspired by moto endurance racing with a multi-directional tread design, surface-level texturing, and a TPU toe pick for added traction and snow tread BOA® Fit System with Vans Hybrid Custom Slide Guide merges traditional lacing with the power of the BOA Fit System at the instep and the adjustable flex control of the Custom Slide Guide for secure, targeted heel hold and a true custom fit",$460.00,2 colors
